,region,genre,number_of_movies,avg_rating
624,LI,Animation,13,6.584615384615384
625,TJ,Adventure,17,7.205882352941177
626,RO,Musical,425,6.410117647058824
627,XWG,Mystery,1282,6.128159126365054
628,CL,Biography,365,6.962739726027397
629,CM,Romance,15,6.546666666666667
630,IE,Music,310,7.069354838709679
631,IL,Western,62,6.780645161290322
632,ID,Biography,431,6.972853828306265
633,AL,Action,117,6.735897435897436
634,TW,Sport,409,6.560146699266505
635,LV,Documentary,244,7.415573770491804
636,DE,Fantasy,3246,5.69849044978435
637,NO,Animation,860,6.424767441860464
638,RS,War,513,6.949902534113061
639,BR,Unknown,261,6.075095785440612
640,HK,Romance,3203,6.164158601311271
641,CSHH,Music,69,6.550724637681158
642,LT,Comedy,3548,6.250901916572717
643,CL,History,248,6.802016129032259
644,VE,Unknown,36,6.230555555555554
645,EE,Sci-Fi,374,6.298395721925135
646,XAS,Thriller,55,6.023636363636363
647,GE,Fantasy,50,6.788
648,MK,Crime,34,6.802941176470587
649,NI,Documentary,7,7.442857142857143
650,MA,Horror,10,5.57
651,DK,Action,3337,6.041504345220257
652,GR,Comedy,17073,6.03703508463656
653,PT,Horror,2962,5.550405131667792
654,AT,Action,1718,6.168684516880092
655,AR,Musical,837,6.283393070489845
656,AU,Western,1286,6.003810264385694
657,UY,Animation,348,6.601724137931036
658,CH,Mystery,120,6.276666666666667
659,BD,Romance,273,6.689010989010988
660,SK,Film-Noir,18,7.605555555555558
661,BJ,Drama,36,6.816666666666666
662,BE,Adult,47,5.025531914893617
663,LV,Unknown,11,5.918181818181818
664,XKV,Drama,31,6.735483870967743
665,US,Biography,7692,6.930850234009361
666,FI,Animation,1164,6.557646048109967
667,TR,Mystery,2218,6.019161406672678
668,BE,Unknown,248,6.146370967741936
669,PH,Horror,3180,5.080911949685534
670,IS,Musical,20,6.705
671,GE,Adventure,125,6.8104000000000005
672,IS,Crime,117,6.576068376068376
673,TH,Documentary,178,7.1724719101123595
674,BY,Documentary,29,7.137931034482759
675,NL,History,714,6.726050420168068
676,HU,Action,6268,5.775047862156988
677,IT,Documentary,4288,7.069356343283582
